"","Date","MeanR","StdR","Code"
"1969",2020-04-25,1.33106837411313,0.050479003702986,"CM"
"1970",2020-04-26,1.45966918308658,0.0521555026411803,"CM"
"1971",2020-04-27,1.51248723179558,0.0522765422935215,"CM"
"1972",2020-04-28,1.35265390078006,0.0483038719976468,"CM"
"1973",2020-04-29,1.44574273900499,0.0484669130706278,"CM"
"1974",2020-04-30,1.14756033639282,0.0415103814107946,"CM"
"1975",2020-05-01,1.09336460568791,0.0396011472001342,"CM"
"1976",2020-05-02,1.3529949085796,0.0433745137142413,"CM"
"1977",2020-05-03,1.3023902631545,0.041168429750635,"CM"
"1978",2020-05-04,1.0987977692822,0.0368515797452586,"CM"
"1979",2020-05-05,1.06337709233904,0.0357561681981042,"CM"
"1980",2020-05-06,1.22560278083108,0.0376344593597729,"CM"
"1981",2020-05-07,1.0122234798182,0.0340685507413193,"CM"
"1982",2020-05-08,0.893752723948331,0.0312171928925515,"CM"
"1983",2020-05-09,0.811825359756505,0.0300775345622047,"CM"
"1984",2020-05-10,1.05617930901661,0.0347998245291801,"CM"
"1985",2020-05-11,1.09924474947086,0.0347705791221994,"CM"
"1986",2020-05-12,1.09147869384408,0.0350606796985701,"CM"
"1987",2020-05-13,1.05716967738883,0.0345958685805139,"CM"
"1988",2020-05-14,1.21021756287338,0.036215682747589,"CM"
"1989",2020-05-15,1.3411173807025,0.0373972346111374,"CM"
"1990",2020-05-16,1.0359212315192,0.0327127999630101,"CM"
"1991",2020-05-17,1.00524686740041,0.0317912091572953,"CM"
"1992",2020-05-18,1.3814865292618,0.0373076217591769,"CM"
"1993",2020-05-19,1.33713412447573,0.0357699392915774,"CM"
"1994",2020-05-20,1.30405787128396,0.0353782883850432,"CM"
"1995",2020-05-21,1.70040640516712,0.0406224369434567,"CM"
"1996",2020-05-22,1.65040030645346,0.0406850391987463,"CM"
"1997",2020-05-23,1.4826001620905,0.0377787660267943,"CM"
"1998",2020-05-24,1.4712517702984,0.0367229420792046,"CM"
"1999",2020-05-25,1.29352728448532,0.0325867572734991,"CM"
"2000",2020-03-30,1.91458188961415,0.0857663422090373,"CO"
"2001",2020-03-31,1.87356478316834,0.0781236990130224,"CO"
"2002",2020-04-01,1.88967109392791,0.0743214347952648,"CO"
"2003",2020-04-02,1.79895544290593,0.0689947726966825,"CO"
"2004",2020-04-03,1.70201263855818,0.0626171378135664,"CO"
"2005",2020-04-04,1.60932795417568,0.0573530248862245,"CO"
"2006",2020-04-05,1.50463527813038,0.0518006998493011,"CO"
"2007",2020-04-06,1.42926525717175,0.047529060196551,"CO"
"2008",2020-04-07,1.42727608558585,0.0450467679338393,"CO"
"2009",2020-04-08,1.50466933974548,0.0444837704910054,"CO"
"2010",2020-04-09,1.52651266820116,0.0437562762915464,"CO"
"2011",2020-04-10,1.57199515201541,0.0437439266680375,"CO"
"2012",2020-04-11,1.56410714913141,0.0422215557918644,"CO"
"2013",2020-04-12,1.41137616805656,0.0385423564995107,"CO"
"2014",2020-04-13,1.29289497863191,0.0349718217658429,"CO"
"2015",2020-04-14,1.23062826751742,0.0322994703395799,"CO"
"2016",2020-04-15,1.15821928547918,0.0302127887388037,"CO"
"2017",2020-04-16,1.13938578563379,0.0284691761406941,"CO"
"2018",2020-04-17,1.1653148349822,0.0278416742127273,"CO"
"2019",2020-04-18,1.06490461395501,0.0260358098802995,"CO"
"2020",2020-04-19,1.18690911960708,0.0267361683465653,"CO"
"2021",2020-04-20,1.20784558507927,0.0263523813193482,"CO"
"2022",2020-04-21,1.15748103318556,0.0254488572863688,"CO"
"2023",2020-04-22,1.09204910566136,0.0240476435864222,"CO"
"2024",2020-04-23,1.08557357234024,0.0237179821001284,"CO"
"2025",2020-04-24,1.10114614637099,0.023830607268081,"CO"
"2026",2020-04-25,1.09587879938474,0.0232796959650636,"CO"
"2027",2020-04-26,1.1544403754458,0.0234135616931612,"CO"
"2028",2020-04-27,1.19265002988131,0.0237773981235208,"CO"
"2029",2020-04-28,1.25459252295304,0.0239689373415739,"CO"
"2030",2020-04-29,1.26279881040701,0.0241223096378247,"CO"
"2031",2020-04-30,1.27693628060711,0.024280618389617,"CO"
"2032",2020-05-01,1.32988319218743,0.0242411007651809,"CO"
"2033",2020-05-02,1.36303423571256,0.0248932469412974,"CO"
