Name,Infectious_mean,Beta1,Beta2,Date
Turkey,439388,0.70,0.90,2020-04-15
Uganda,1100,0.47,0.67,2020-04-15
Ukraine,26593,0.84,1.04,2020-04-15
United Arab Emirates,17431,0.77,0.97,2020-04-15
United Kingdom,1075004,0.48,0.68,2020-04-15
Uruguay,5000,0.36,0.56,2020-04-15
US,2064195,0.48,0.68,2020-04-15
Uzbekistan,3044,0.98,1.18,2020-04-15
Venezuela,5000,0.73,0.93,2020-04-15
Vietnam,500,0.50,0.70,2020-04-15
Zambia,1000,0.83,1.03,2020-04-15
Zimbabwe,3000,1.08,1.28,2020-04-15
Canada,242193,0.9,0.9,2020-04-15
Australia,41105,0.9,0.9,2020-04-15
China,4000,0.9,0.9,2020-04-15
Congo (Brazzaville),1454,,,2020-04-15
Congo (Kinshasa),2456,,,2020-04-15
