Country,Country code,Country code 3 digit,"""Mask wearing"" Start Date",Sources,Quotations and Comments,"""Mask wearing"" End Date",Sources,Quotations and Comments,"""Gatherings limited to 1000 people or less"" Start Date",Sources,Quotations and Comments,"""Gatherings limited to 1000 people or less"" End Date",Sources,Quotations and Comments,"""Gatherings limited to 100 people or less"" Start Date",Sources,Quotations and Comments,"""Gatherings limited to 100 people or less"" End Date",Sources,Quotations and Comments,"""Gatherings limited to 10 people or less"" Start Date",Sources,Quotations and Comments,"""Gatherings limited to 10 people or less"" End Date",Sources,Quotations and Comments,"""Some businesses closed"" Start Date",Sources,Quotations and Comments,"""Some businesses closed"" End Date",Sources,Quotations and Comments,"""Most nonessential businesses closed"" Start Date",Sources,Quotations and Comments,"""Most nonessential businesses closed"" End Date",Sources,Quotations and Comments,"""Schools closed"" Start Date",Sources,Quotations and Comments,"""Schools closed"" End Date",Sources,Quotations and Comments,"""Universities closed"" Start Date",Sources,Quotations and Comments,"""Universities closed"" End Date",Sources,Quotations and Comments,"""Stay-at-home order (with exemptions)"" Start Date",Sources,Quotations and Comments,"""Stay-at-home order (with exemptions)"" End Date",Sources,Quotations and Comments
Andorra,AD,AND,15 April 2020,"http://web.archive.org/web/20200624152240/https://www.ara.ad/2020/04/15/sortides_exterior.pdf?hash=2a44d9be7fde073c322b0ed8fa8948d103775140

https://www.brujulabike.com/andorra-permite-ejercicio-mascarilla-obligatoria-prohibido-ciclismo/

https://www.govern.ad/comunicats/item/11441-martinez-benazet-destaca-la-importancia-de-fer-un-us-correcte-de-les-mascaretes-i-mantenir-una-higiene-acurada-de-mans","Government document from April 15 mentions a requirement to wear masks whenever going out, and subsequent articles concerning reopening similarly mention the mandate.

""From April 17 the inhabitants of Andorra will be able to go out to the street to exercise or to walk in a staggered manner in the following time slot and daily, the mask is mandatory in any case.""",No,"""Wearing face masks is recommended in all public places, and is mandatory on public transport."" 

","https://tripsguard.com/country/andorra/

https://web.archive.org/web/20200624153300/https://tripsguard.com/country/andorra/",14 March 2020,https://www.govern.ad/comunicats/item/11306-el-govern-aprova-mesures-complementaries-per-reforcar-la-prevencio-del-contagi-del-covid-19,"Quote: ""With regard to the development of events, recreational, cultural or sporting, with a large influx of people, it has been determined that those events of any type in which a mass participation of more than 1,000 people is expected to be suspended. As for the events in which a lower influx is expected, a case-by-case analysis will be made. The organizers will decide whether or not to take place and the administrations (general and communal) may cancel any of these events if they deem it necessary.""",No,https://www.govern.ad/comunicats/item/11615-el-govern-decreta-l-aixecament-parcial-d-algunes-mesures-excepcionals-un-cop-establerta-la-represa-generalitzada-de-l-activitat,"As of June 9, ""As for leisure, cultural and sports activities, they are allowed to be organized in indoor venues as long as they do not exceed 200 people or the capacity of 50% of the venue. In the event that the activities take place outside, they can be carried out as long as they do not exceed 400 people. It is always necessary to respect the safety distance of 1.5 meters and the obligatory use of masks.""",14 March 2020,"https://www.bopa.ad/bopa/032023/Pagines/GD20200314_19_32_54.aspx

https://web.archive.org/web/20200418082821/https://www.bopa.ad/bopa/032023/Pagines/GD20200314_19_32_54.aspx

https://www.govern.ad/comunicats/item/11306-el-govern-aprova-mesures-complementaries-per-reforcar-la-prevencio-del-contagi-del-covid-19","Though this limitation was not mentioned specifically, we infer that it was in place, in practice, given the very strict limitations on public gatherings and closure of establishments.

Quote from gov't decree: ""a) Closure of all leisure and leisure establishments, gyms, bars, restaurants, ski slopes and all commercial establishments, with the exception of those that sell or supply basic necessities such as food shops, pharmacies, doctors, gas stations or other activities (see appendix).b) Closure of parks, leisure areas, squares, picnic areas and the like."" 

",No,"https://twitter.com/GovernAndorra/status/1266029240383950849?s=20

https://web.archive.org/save/https://twitter.com/GovernAndorra/status/1266029240383950849?s=20

https://www.govern.ad/comunicats/item/11615-el-govern-decreta-l-aixecament-parcial-d-algunes-mesures-excepcionals-un-cop-establerta-la-represa-generalitzada-de-l-activitat","Communicated on May 28 by the government: ""The grouping of relatives is allowed, up to a maximum of 15 people, who can be flexible between the distance measures. In groups beyond the cohabitation unit, with a maximum of 10 people, the distance of 1.5 m and the use of masks must be maintained.""

On June 9, this restriction was further eased.",14 March 2020,"https://www.bopa.ad/bopa/032023/Pagines/GD20200314_19_32_54.aspx

https://web.archive.org/web/20200418082821/https://www.bopa.ad/bopa/032023/Pagines/GD20200314_19_32_54.aspx


https://www.govern.ad/comunicats/item/11306-el-govern-aprova-mesures-complementaries-per-reforcar-la-prevencio-del-contagi-del-covid-19","Though this limitation was not mentioned specifically, we infer that it was in place, in practice, given the very strict limitations on public gatherings and closure of establishments.

Quote from gov't decree: ""a) Closure of all leisure and leisure establishments, gyms, bars, restaurants, ski slopes and all commercial establishments, with the exception of those that sell or supply basic necessities such as food shops, pharmacies, doctors, gas stations or other activities (see appendix).b) Closure of parks, leisure areas, squares, picnic areas and the like."" 

",May 29,"https://twitter.com/GovernAndorra/status/1266029240383950849?s=20

https://www.govern.ad/comunicats/item/11615-el-govern-decreta-l-aixecament-parcial-d-algunes-mesures-excepcionals-un-cop-establerta-la-represa-generalitzada-de-l-activitat","Communicated on May 28 by the government, referring to the following day: ""The grouping of relatives is allowed, up to a maximum of 15 people, who can be flexible between the distance measures. In groups beyond the cohabitation unit, with a maximum of 10 people, the distance of 1.5 m and the use of masks must be maintained.""

On June 9, this restriction was further eased.",14 March 2020,https://www.diariandorra.ad/noticies/nacional/2020/03/13/missatge_institucional_del_cap_govern_aquest_vespre_158554_1125.html,"Quote: 'closure of all public establishments except basic stores, pharmacies and gas stations'",No,https://www.worldaware.com/covid-19-alert-andorra-eases-some-restrictions-april-16,"Quote: 'Educational institutions in the country, as well as nonessential businesses, will remain closed'",14 March 2020,https://www.govern.ad/comunicats/item/11306-el-govern-aprova-mesures-complementaries-per-reforcar-la-prevencio-del-contagi-del-covid-19,"""Specifically, the text decrees the closure from tomorrow Saturday March 14 and for a period of up to 15 days extendable to all high-end establishments such as leisure and leisure, gyms, bars, restaurants and all commercial establishments. Excluded from closure are those shops that sell basic necessities, such as grocery stores and supermarkets, pharmacies, doctors and gas stations, or other activities such as banks, offices and / or offices.""",18 May 2020,https://www.govern.ad/comunicats/item/11517-la-tercera-fase-de-represa-de-l-activitat-economica-comencara-el-18-de-maig,"Quote: ""Veterinary consultations, hairdressers, barbershops and beauty salons, among others, will also be authorized.""",16 March 2020,https://web.archive.org/web/20200317022626/https://www.diariandorra.ad/noticies/nacional/2020/03/12/l_hospital_ailla_dues_persones_mes_per_sospites_haver_infectat_amb_malaltia_158460_1125.html,"Quote ""Government will not open the Margineda educational center and will close all schools from Monday """,No,https://www.lavanguardia.com/vida/20200527/481424921554/andorra-preve-el-retorno-a-las-aulas-el-dia-2-con-clases-reducidas.html,"Quote: ""Andorra plans to return to classrooms on June 2 with reduced classes""",16 March 2020,https://web.archive.org/web/20200317022626/https://www.diariandorra.ad/noticies/nacional/2020/03/12/l_hospital_ailla_dues_persones_mes_per_sospites_haver_infectat_amb_malaltia_158460_1125.html,"Quote ""Government will not open the Margineda educational center and will close all schools from Monday """,No,https://www.viurealspirineus.cat/articulo/andorra/universitat-dandorra-reobre-seves-instal-lacions-partir-2-juny/20200601074732019367.html,"Wasn't able to find a general announcement on universities, but the University of Andorra (the main uni) reopened on June 2, which aligns with the date that schools generally opened.",No,https://www.bopa.ad/bopa/032023/Pagines/GD20200314_19_32_54.aspx,"Although citizens were told to remain indoors and given specific timeframes within which they could go outside, none of the government announcements or decrees relating to the lockdown mentioned a legally enforcable stay-at-home order.",Na,,
Albania,AL,ALB,No,https://globalvoices.org/2020/05/08/lifes-a-beach-how-covid-19-is-changing-tourism-on-the-albanian-coast/,"Public are not forced to wear masks, but staff in contact establishments eg restaurants do have to",Na,,,8 March 2020,https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0,"Reuters quote: ""Rama said authorities had also ordered cancellations of all large public gatherings including cultural events and were asking sporting federations to cancel scheduled matches.""",No,http://www.xinhuanet.com/english/2020-05/30/c_139099321.htm,"As of May 30, ""Cultural activities, cinemas, theaters, nightclubs, swimming pools, mass gatherings, weddings, conferences, public hearings, gatherings of all kinds will continue to be prohibited until further notice,""",12 March 2020,https://www.tiranatimes.com/?p=144535,"""Prime Minister Edi Rama sent a text message to all of the mobile subscribers in Albania on Thursday telling them to wash their hands, stay home and be cautious of fake news, among other things. The message was sent after he announced that cars in Tirana and Durres, and other major cities will not be allowed on the roads, as an extreme measure of preventing the spread of coronavirus in Albania. The ban starts on Friday at 06:00am and ends on Sunday midnight.""

Though this order does not specifically address the numerical limit on gatherings, it seems very reasonable to assume that no such gatherings were allowed, given the strictness of the measure (e.g. banning cars on the road)",No,http://www.xinhuanet.com/english/2020-05/30/c_139099321.htm,"As of May 30, ""Cultural activities, cinemas, theaters, nightclubs, swimming pools, mass gatherings, weddings, conferences, public hearings, gatherings of all kinds will continue to be prohibited until further notice,""",12 March 2020,https://www.tiranatimes.com/?p=144535,"""Prime Minister Edi Rama sent a text message to all of the mobile subscribers in Albania on Thursday telling them to wash their hands, stay home and be cautious of fake news, among other things. The message was sent after he announced that cars in Tirana and Durres, and other major cities will not be allowed on the roads, as an extreme measure of preventing the spread of coronavirus in Albania. The ban starts on Friday at 06:00am and ends on Sunday midnight.""

Though this order does not specifically address the numerical limit on gatherings, it seems very reasonable to assume that no such gatherings were allowed, given the strictness of the measures from March 12 (e.g. banning cars on the road)",No,"https://www.garda.com/crisis24/news-alerts/341096/albania-authorities-expand-green-zones-to-include-most-municipalities-may-11-update-11 

https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-lifts-curbs-on-driving-slashes-curfew-in-green-zones-idUKKBN22N2QI","Even in Green Zones, people are allowed to be with only 2 others. Garda quote: ""Cars may be driven from 09:30 to 17:30 without a permit, but with a maximum of one passenger and within their respective municipality."" 

Reuters quote:  ""People can walk and drive until 9 p.m. in those areas but carry only two family members in their cars."" ",10 March 2020,https://www.tiranatimes.com/?p=144535,"Quote: ""The government announced stricter measures on Tuesday. Bars, restaurants, gyms, discos and venues with live music were ordered to close"" ",No,https://www.garda.com/crisis24/news-alerts/347436/albania-covid-19-lockdown-measures-eased-from-june-1-update-12,"Quote: ""Albanian authorities announced on Monday, June 1, that certain lockdown measures have been eased amid the coronavirus disease (COVID-19) pandemic. The new measures will now allow people to move around freely, with parks, gyms and internet cafes now open. Mass transit, conferences, public hearings, swimming pools, theaters, cinemas, and nightclubs will remain closed until Tuesday, June 23.""",12 March 2020,"https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/

https://www.newsflare.com/video/344149/empty-road-closed-everything-in-tirana-albania-after-prime-minister-blocked-all-the-cars-and-public-transportation-coronavirus

https://www.albaniandailynews.com/index.php?idm=40322&mod=2

https://exit.al/en/2020/03/13/the-exit-guide-to-what-to-do-during-lockdown/","Quote: ""All retail activities nationwide are closed through April 3rd.""

Quote: ""Prime Minister Edi Rama has ordered the closure of restaurants, bars and activities leaving only supermarkets and pharmacies open.""

https://www.albaniandailynews.com/index.php?idm=40322&mod=2",27 April 2020,"https://www.garda.com/crisis24/news-alerts/341096/albania-authorities-expand-green-zones-to-include-most-municipalities-may-11-update-11

https://uk.reuters.com/article/us-health-coronavirus-albania/albania-re-opens-some-businesses-as-seeks-to-limit-coronavirus-hit-to-economy-idUKKBN2200VB 

","The emergency situation was extended until 23rd June, but some businesses opened on 27th April 

Quote: "" Some businesses, such as apparel, furniture, electronics, sports equipment, and taxi services may resume from Monday, April 27 "" 

AND even 10 days before that on the 18th april the opening of many more businesses was announced:

Reuters quote: ""Albania will re-open about 600 business activities from Monday [20th], ranging from watch repair shops to mining, in a bid to breathe life back into an economy frozen for a month as the country fights the coronavirus outbreak "" .... I am going to go with the latter date of 27th april for the lifting of most non-essential businesses""",9 March 2020,"https://web.archive.org/web/20200312044109/https://www.newvision.co.ug/new_vision/news/1516166/coronavirus-update-embassies-closed-schools-shut

https://web.archive.org/web/20200310162434/http://www.tiranatimes.com/?p=144516

https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0

http://www.xinhuanet.com/english/2020-04/29/c_139016333.htm",,No,https://www.9and10news.com/i/the-latest-mosques-reopen-in-albania-with-restrictions/,"Quote: ""As of June 1, nursery schools are reopening while children up to the fifth grade can go back to school on a voluntary basis. No more than 20 can be in one class. ""   

High school seniors had already gone back on may 18th with strict restrictions, however this does not meet the criterion of 'most schools' ",9 March 2020,http://www.xinhuanet.com/english/2020-04/29/c_139016333.htm,"Quote: ""Schools and universities in Albania have been closed since March 9, when the first case of coronavirus infection was confirmed in the country.""",No,http://www.xinhuanet.com/english/2020-04/29/c_139016333.htm,"Universities were not mentioned in the announcement of school reopening and I haven't seen any mention of them opening. Highly unlikely that they would open, given that primary schools remain closed.
",21 March 2020,"https://www.reuters.com/article/us-health-coronavirus-albania-curfew/albanians-begin-life-under-daily-curfew-as-coronavirus-cases-rise-idUSKBN21A3LS

https://exit.al/en/2020/03/21/albanian-government-further-restricts-business-activity-amid-coronavirus-curfew/","Citizens were *asked* to stay home on March 12 already, however, it does not appear that the curfew was legally binding and enforced until March 21. At first, it was active through the weekend of March 21-22, and it was subsequently extended.",No,https://www.garda.com/crisis24/news-alerts/347436/albania-covid-19-lockdown-measures-eased-from-june-1-update-12,"People were allowed to move around freely - ie stay at home order ending - for the first time on 1st June. There were gradual easings well before this, but still night time curfews and a max limit of 2 people in a group in public, which does not constitute a lifting of stay at home order by our definition."
Austria,AT,AUT,1 April 2020,https://www.thelocal.at/20200330/austria-to-force-all-supermarket-shoppers-to-wear-face-masks,"Required in supermarkets and pharmacies as of April 1, extended to public transport on April 6",No,https://www.thelocal.at/20200530/austria-to-relax-mandatory-mask-rules-in-coronavirus-fight   ,"Austria announced on Friday that wearing face masks will no longer be mandatory in shops from mid-June as the country enters a fresh coronavirus phase of ""fewer rules, more self-responsibility.""""",10 March 2020,https://www.reuters.com/article/us-health-coronavirus-austria-events/austria-bans-indoor-events-of-more-than-100-people-minister-says-idUSKBN20X1EV,Quote: all indoor events with more than 100 people were cancelled.,No,https://www.northstarmeetingsgroup.com/coronavirus-countries-cities-reopening-COVID-19-new-cases,"Quote: ""Gatherings of more than 10 people are prohibited through the end of June""",10 March 2020,https://web.archive.org/web/20200507103115/https://www.reuters.com/article/us-health-coronavirus-austria-events/austria-bans-indoor-events-of-more-than-100-people-minister-says-idUSKBN20X1EV,Quote: all indoor events with more than 100 people were cancelled.,No,https://www.northstarmeetingsgroup.com/coronavirus-countries-cities-reopening-COVID-19-new-cases,"Quote: ""Gatherings of more than 10 people are prohibited through the end of June""",16 March 2020,"https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar

https://orf.at/stories/3158055/","Quote: Austria tightened restrictions on public life further on Sunday, banning public gatherings of more than five people

The ban went into effect on midnight, and was therefore active as of March 16.",No,https://www.northstarmeetingsgroup.com/coronavirus-countries-cities-reopening-COVID-19-new-cases,"Quote: ""Gatherings of more than 10 people are prohibited through the end of June""",16 March 2020,"https://orf.at/stories/3158055/

https://web.archive.org/web/20200315144852/https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar","Quote: ""All business in non-everyday industries remains closed. There are 21 exceptions to the entry ban in retail. In addition to grocery stores, pharmacies, drugstores, banks, petrol stations and health and care providers, this also includes the sale of animal feed, services for the disabled and emergencies, the post, legal aid, tobacco shops, public transport, car repair shops, cleaning services and waste disposal.""

The ban went into effect on midnight, and was therefore active as of March 16.",No,"https://web.archive.org/web/20200524001229/https://www.herold.at/blog/corona-virus-oesterreich-covid-19-aktuell/

https://web.archive.org/web/20200520223425/https://www.vienna.at/museen-oeffnen-nach-corona-das-muss-man-wissen/6615360","Almost all stores and services reopened throughout May, but cinemas and theatres remained closed.",16 March 2020,"https://orf.at/stories/3158055/

https://web.archive.org/web/20200315144852/https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar","Quote: ""All business in non-everyday industries remains closed. There are 21 exceptions to the entry ban in retail. In addition to grocery stores, pharmacies, drugstores, banks, petrol stations and health and care providers, this also includes the sale of animal feed, services for the disabled and emergencies, the post, legal aid, tobacco shops, public transport, car repair shops, cleaning services and waste disposal.""

The ban went into effect on midnight, and was therefore active as of March 16.",1 May 2020,"https://web.archive.org/web/20200507130013/https://www.vienna.at/corona-lockerungen-das-aendert-sich-ab-1-mai/6605215

https://www.bbc.co.uk/news/world-europe-52275959","BBC quote: ""Thousands of shops have reopened in Austria, as it seeks to ease restrictions brought in to stem the spread of the coronavirus. (...) They would then be followed by all shops, shopping malls and hairdressers on May 1.""",17 March 2020,https://www.kleinezeitung.at/politik/5783037/Coronavirus_Stufenweise-ab-Montag_Oesterreich-schliesst-Schulen,"All children older than 14 years old were ordered to stay at home, starting 15 March, with the younger children starting 17 March. Therefore all schools were closed as the 17th of March.",18 May 2020,https://uk.reuters.com/article/uk-health-coronavirus-austria-education/austria-will-reopen-schools-with-split-classes-next-month-idUKKCN2261KN,"Quote: ""Austria, which is loosening its coronavirus lockdown, said on Friday that most pupils will go back to school on May 18""",16 March 2020,https://www.universityworldnews.com/post.php?story=2020031207314430,"On 10 March, the government announced that all universities would close their classes at the latest by 16 March. https://www.universityworldnews.com/post.php?story=2020031207314430",No,https://www.timeshighereducation.com/news/universities-last-line-europe-eases-coronavirus-lockdown,"As in Germany, Austrian schools are set to reopen in early May for pupils taking their leaving certificates, while small shops, garden centres and DIY stores reopened on 14 April.

But at universities there will be no more physical lectures this academic year, explained Sabine Seidler, president of Universities Austria. """,16 March 2020,https://orf.at/stories/3158055/,"""The same rules on exit restrictions have applied throughout Austria since midnight. Only those who have a valid reason should leave or leave their home. These reasons are relatively clearly defined and will in future also be checked by the police.""",1 May 2020,https://www.brusselstimes.com/all-news/belgium-all-news/health/108539/coronavirus-austria-to-progressively-lift-lockdown-from-1-may/ ,"From 1 May, Austrians will once again be able to leave their homes, all the while keeping a one-metre distance from each other.

“We can abandon the restrictions on movement,” Anschober said. However, easing the measures does not mean that the crisis is over. Austria could stop the easing of the measures to avoid a second wave of infections, he warned."""
Bosnia and Herzegovina,BA,BIH,29 March 2020,"https://covid-19.ba/dokumenti/civilna_zastita 

http://web.archive.org/web/20200619070158/https://covid-19.ba/dokumenti/civilna_zastita

http://ba.n1info.com/English/NEWS/a420560/Bosnia-s-Federation-entity-loosens-curfew-introduced-mandatory-masks.html",,No,https://bhrt.ba/1159457/fbih-od-danas-nije-obavezno-nosenje-maske-ima-i-uslov/,"Quote: ""As of today, it is not obligatory to wear masks outdoors in the Federation of BiH.

This rule applies if a distance of two meters is kept, while wearing protective masks in a closed public space is still mandatory""",18 March 2020,"http://ba.n1info.com/Vijesti/a417173/Procitajte-naredbe-Zabranjuje-se-rad-kafica-objekata-za-masovno-okupljanje.html

https://web.archive.org/web/20200507132231/http://ba.n1info.com/Vijesti/a417171/Obustavljena-sva-javna-okupljanja-i-rad-ugostiteljskih-objekata-u-FBiH.html","""The federal headquarters has issued an order banning all public gatherings (...) The order applies from Wednesday, March 18 from 6:00 p.m.""",No,https://bhrt.ba/1159457/fbih-od-danas-nije-obavezno-nosenje-maske-ima-i-uslov/,"""As of today, the order according to which public gathering of people is allowed in a certain area, but under the conditions that there cannot be more than a hundred indoors and more than 300 people in the open, comes into force. """,18 March 2020,"http://ba.n1info.com/Vijesti/a417173/Procitajte-naredbe-Zabranjuje-se-rad-kafica-objekata-za-masovno-okupljanje.html

https://web.archive.org/web/20200507132231/http://ba.n1info.com/Vijesti/a417171/Obustavljena-sva-javna-okupljanja-i-rad-ugostiteljskih-objekata-u-FBiH.html","""The federal headquarters has issued an order banning all public gatherings (...) The order applies from Wednesday, March 18 from 6:00 p.m.""",No,https://bhrt.ba/1159457/fbih-od-danas-nije-obavezno-nosenje-maske-ima-i-uslov/,"""As of today, the order according to which public gathering of people is allowed in a certain area, but under the conditions that there cannot be more than a hundred indoors and more than 300 people in the open, comes into force. """,18 March 2020,https://web.archive.org/web/20200507132612/https://www.lexology.com/library/detail.aspx?g=f2e594b3-0ca3-45ec-a9dc-30c5feec54ff,Ban on gatherings in indoor spaces with more than 50 people,14 May 2020,https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Bosnia-and-Herzegovina.pdf,"Quote: ""Public gatherings of more than 50 persons are banned until 22 June (...) On 14 May, [Bosnia and Herzegovina] allowed indoor public gatherings provided
that 10m2 per person was ensured and all the hygienic measures were respected."" ",18 March 2020,http://ba.n1info.com/Vijesti/a417173/Procitajte-naredbe-Zabranjuje-se-rad-kafica-objekata-za-masovno-okupljanje.html,"Quote: ""The federal headquarters has issued an order banning all public gatherings, suspending the operation of all catering facilities for preparing and selling food and drinks, restaurants, pizzerias, pastry shops, beauty salons, hookah bars, coffee bars, disco bars, teahouses, cafes. It was also ordered to suspend all services of cultural and sports institutions, the work of museums, theaters, activities in concert halls, art galleries, the operation of cinemas, swimming pools, baths, spas, fitness centers. Excluded from the order are restaurants that deal with the preparation and delivery of food, as well as soup kitchens, restaurants in hotels that will provide services only for hotel guests, subject to hygienic and epidemiological measures.""",No,https://radiodonjivakuf.com.ba/zivot-se-vraca-u-bih/,,No,http://ba.n1info.com/Vijesti/a417173/Procitajte-naredbe-Zabranjuje-se-rad-kafica-objekata-za-masovno-okupljanje.html,"While the FBiH did suspend the operation of several kinds of businesses, this did not amount to closing ""Most businesses"" by our definition, since the order enumerated a blacklist of high-risk businesses, as opposed to closing everything by default and then having a whitelist of exemptions.

""The federal headquarters has issued an order banning all public gatherings, suspending the operation of all catering facilities for preparing and selling food and drinks, restaurants, pizzerias, pastry shops, beauty salons, hookah bars, coffee bars, disco bars, teahouses, cafes. It was also ordered to suspend all services of cultural and sports institutions, the work of museums, theaters, activities in concert halls, art galleries, the operation of cinemas, swimming pools, baths, spas, fitness centers""",Na,,,11 March 2020,"https://web.archive.org/web/20200318202057/https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA

https://web.archive.org/web/20200312162729/https://www.klix.ba/vijesti/bih/na-dvije-sedmice-se-obustavlja-nastava-u-skolama-i-na-fakultetima-u-fbih/200311085",,No,"https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Bosnia-and-Herzegovina.pdf

http://web.archive.org/web/20200624154049/https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Bosnia-and-Herzegovina.pdf","Quote: ""Schools and universities have been closed. Kindergartens have reopened in
the RS on 11 May and on 18 May for the majority of cantons in the FBiH. Schools remain closed
until the end of the school year in both entities """,11 March 2020,https://www.klix.ba/vijesti/bih/na-dvije-sedmice-se-obustavlja-nastava-u-skolama-i-na-fakultetima-u-fbih/200311085,"Quote: Classes will be suspended for two weeks in all schools and colleges, but play in theaters will also be suspended, as well as some sports activities.",No,"https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Bosnia-and-Herzegovina.pdf

http://web.archive.org/web/20200624154049/https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Bosnia-and-Herzegovina.pdf","Quote: ""Schools and universities have been closed. Kindergartens have reopened in
the RS on 11 May and on 18 May for the majority of cantons in the FBiH. Schools remain closed
until the end of the school year in both entities """,No,"https://www.slobodnaevropa.org/a/30499978.html

https://www.klix.ba/vijesti/bih/federalni-stab-donio-naredbu-od-sutra-navecer-zabrana-kretanja-od-18-do-5-sati/200321099

https://www.populationpyramid.net/bosnia-and-herzegovina/2019/

https://en.wikipedia.org/wiki/Federation_of_Bosnia_and_Herzegovina

https://en.wikipedia.org/wiki/Republika_Srpska","The Federation of BiH issued an order on March 20, which banned the movement of people under the age of 18 and over 65 in the Federation of BiH. Moreover, on March 21 a curfew was introduced for the entire Federation of Bosnia and Herzegovina every day from 18:00 until 05:00, and its implementation started on 22 March 2020.

However, given limited hours of the curfew; the fact that the movement restriction only applied to people under 18 or over 65 (roughly 32% of the population); and that the Federation of the BiH accounts for roughly 65% of the population of Bosnia and Herzegovina, we decided that this did not amount to a stay-at-home order by our definitions. ",Na,,
